"1. Are you a: ( Check as many as apply)","2. Currently you are studying / working / living in:","2.a. If you selected Other, please specify:","3. What is your annual household income?","4. What is the highest degree or level of education you have completed?","5. Please rate on scale from 1 ro 5 what the effects of a Four-Day School week would be on Students? 1 (negative effect) to 5 ( maximum benefit)","5.1. How would it affect the students academically","5.2. The effects of a longer school day","5.3. School activities/ extra-curriculum (using the extra day off)","5.4. Student safety","5.5. Students-wellbeing","5.6. Attendance","5.7. Students Outcomes (more time for studying and tutoring)","6. Please rate the effects of moving to a Four-Day School Week for parents/ families. 1 (negative effect) to 5 ( maximum benefit)","6.1. Financial cost for schools (transportation, food services, utilities bill school...)","6.2. Environmental effects","6.3. Effects on family life","6.4. Childcare issues","7. Please rate effects of a Four-Day week would be on teachers/School. 1 (negative effect) to 5 ( maximum benefit)","7.1. Financial cost for schools (transportation, food services, utilities bill)","7.2. Time management of staff","7.3. Recruitment of staff","7.4. Work-life balance","7.5. Salary","8. Which key stage would be more suitable the Four-Day School Week?","9. Would you agree if the next academic year implemented a four-day week?","10. Comments?"
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","4","4","3","3","4","3",,"4","4","4","3",,"4","5","5","5","4","KS3,KS4,KS5 (A-Level)","Completely agree",
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"1","1","2","3","2","3","2",,"4","4","2","1",,"4","4","4","4","3","KS5 (A-Level),College","Completely disagree","issues with safeguarding and routine for less independent student "
"Staff Member","England",,"More than £50,000","Bachelor's Degree",,"3","5","4","3","4","4","4",,"5","5","5","4",,"5","5","5","5","4","KS5 (A-Level),College","Completely agree",
"Staff Member","England",,"£25,000 - £50,000","Prefer not to say",,"3","1","4","5","5","5","3",,"5","5","5","3",,"4","5","5","5","3","KS3,KS4","Somewhat agree",
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"4","3","4","4","4","3","4",,"4","3","4","4",,"4","3","4","4","5","KS5 (A-Level)","Somewhat agree","A great idea, but difficult to implement"
"Parent Guardian,Staff Member","England",,"More than £50,000","Bachelor's Degree",,"2","4","3","1","2","2","1",,"4","3","3","1",,"5","5","5","5","3","KS5 (A-Level),College","Completely disagree",
"Other","England","Teacher Trainee","Less than £25,000","Bachelor's Degree",,"3","2","2","2","3","4","3",,"3","4","3","1",,"4","5","3","5","3","KS5 (A-Level)","Neither agree not disagree","It is my opinion that whilst the opportunity of 1 day out the school building per week would highly benefit staff who don’t need to travel and can work from home, I don’t think KS3 or KS4 students would really see that time as valuable time to study, rather an extra weekend day to go and relax. It could be directed work time with set work from teachers, but does that defeat the purpose of giving teachers a day to catch up, and do students have the equipment or workspace to do that at home?"
"Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"1","1","1","3","3","4","3",,"3","3","2","1",,"2","2","3","3","3","KS5 (A-Level),College","Somewhat disagree",
"Parent Guardian,Staff Member","England",,"£25,000 - £50,000","Bachelor's Degree",,"5","5","5","4","5","5","4",,"4","5","4","4",,"4","4","5","4","4","KS4,KS5 (A-Level),College","Somewhat agree","If this doesn’t affect teachers salary will be great. How does it affect salary of administration.?"
"Staff Member","England",,"Less than £25,000","Master's Degree",,"4","3","4","2","3","3","4",,"4","4","4","1",,"5","5","5","5","5","KS4,KS5 (A-Level)","Completely agree",
